"pol"	"place"	"time1"	"time2"	"Polity.Population"	"Polity.territory"	"Population.of.the.largest.settlement"	"scale.of.supracultural.interaction"	"dim1"	"dim2"	"dim3"
"Kachi Plain -550 -329"	"Kachi Plain"	-550	-329	2.6e+07	4e+06	2e+05	2750000	-0.897402934374959	0.630828461732502	0.756195320413589
"Kachi Plain -5500 -4001"	"Kachi Plain"	-5500	-4001	14965144.9772727	1720265.20347003	500	6576506.57777778	0.852957547649355	0.536438594172351	-0.905965650246599
"Kachi Plain -7500 -5501"	"Kachi Plain"	-7500	-5501	14965144.9772727	1720265.20347003	500	6576506.57777778	0.860415933798691	0.584650894560774	-0.906385029093106
"Kachi Plain -95 21"	"Kachi Plain"	-95	21	75000	280000	450000	3750000	-0.766334378138104	0.511966036905033	0.840734969230644
"Kachi Plain 1193 1206"	"Kachi Plain"	1193	1206	14965144.9772727	880000	170408.662280702	6576506.57777778	-0.567571448284728	0.591978453535442	0.942591911532834
"Kachi Plain 1207 1339"	"Kachi Plain"	1207	1339	14965144.9772727	3e+06	3e+05	6576506.57777778	-0.589473904139263	0.765579341154379	0.958985081303184
"Kachi Plain 1340 1519"	"Kachi Plain"	1340	1519	1e+06	140914	170408.662280702	6576506.57777778	-0.421094528120042	0.751581657786541	0.886536944143568
"Kachi Plain 1526 1740"	"Kachi Plain"	1526	1740	1.3e+08	3850000	4e+05	6576506.57777778	-0.736474502740312	0.80474999578858	0.918575888568914
"Kachi Plain 1748 1826"	"Kachi Plain"	1748	1826	14965144.9772727	489500	170408.662280702	6576506.57777778	-0.439316158565983	0.459552715249695	0.938691663294331
"Kachi Plain 251 495"	"Kachi Plain"	251	495	5e+06	2900000	1e+05	3250000	-0.498214161348082	0.783457382799815	0.909283168140535
"Kachi Plain 30 250"	"Kachi Plain"	30	250	13750000	2250000	1e+05	4e+06	-0.763325526484453	0.256644743915822	0.87735128264021
"Kachi Plain 496 531"	"Kachi Plain"	496	531	26500000	2e+06	170408.662280702	7750000	-0.579807699181843	0.485171043867947	0.903484563597006
